Path,Category,Prediction,Shape of the item.,Details of the item.,Use of item.,Describe how this item is typically obtained.,Identify some common places where the item might be found or used.
/content/Dataset_simple_sketch/test/teapot/17517.png,teapot,teapot,teapot,line drawing of a teapot on a white background,teapot,it is typically obtained by drawing a single line on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17464.png,teapot,teapot,teapot,line drawing of a teapot on a white background,teapot,by drawing a single line on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17512.png,teapot,teapot,teapot,drawing of a teapot on a white background,teapot,it is typically obtained by drawing a teapot on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17454.png,teapot,teapot,teapot,line drawing of a teapot,teapot,it is typically obtained by drawing a line on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/elephant/5930.png,elephant,kangaroo,elephant,1 credit usd $1,1 credit usd $1,it is typically obtained from a print shop,elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages
/content/Dataset_simple_sketch/test/elephant/5945.png,elephant,kangaroo,a line drawing of an elephant on a white background,a line drawing of an elephant on a white background,a line drawing of an elephant on a white background,it is typically obtained by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5997.png,elephant,teddy-bear,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,1 credit usd 20,Use of item. Answer: Use of item.,it is typically obtained from the internet,elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages
/content/Dataset_simple_sketch/test/elephant/5998.png,elephant,kangaroo,a line drawing of an elephant on a white background,1 credit usd $1,1 credit usd $1,it is typically obtained as a free download from the internet,elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages elephant coloring pages
/content/Dataset_simple_sketch/test/elephant/5978.png,elephant,teddy-bear,a line drawing of an elephant,1 credit usd $1,1 credit usd $1 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1,it is typically obtained from a print shop,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5970.png,elephant,teddy-bear,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,price 1 credit usd $1,price 1 credit usd $1,price 1 credit usd $1,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5927.png,elephant,elephant,a line drawing of an elephant on a white background,a line drawing of an elephant on a white background,a line drawing of an elephant on a white background,it is typically obtained by drawing an outline of an elephant on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5969.png,elephant,elephant,a line drawing of a mammoth,a line drawing of a mammoth on a white background,a line drawing of a mammoth on a white background,it is typically obtained from a mammoth's tusks,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5977.png,elephant,teddy-bear,a line drawing of an elephant's head,a line drawing of an elephant with tusks,a line drawing of an elephant's head,by drawing a line on a white sheet of paper,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5976.png,elephant,kangaroo,a line drawing of an elephant with long tusks,a line drawing of an elephant with long tusks on a white background,a line drawing of an elephant with tusks,it is typically obtained by drawing a single line on a white background,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/elephant/5990.png,elephant,kangaroo,a line drawing of an elephant with long tusks,price 1 credit usd $1,price 1 credit usd $1,by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5921.png,elephant,kangaroo,a line drawing of an elephant on a white background,1 credit usd $1,1 credit usd $1 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1,it is typically obtained from a print shop,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5939.png,elephant,teddy-bear,a line drawing of an elephant,a line drawing of an elephant on a white background,a line drawing of an elephant on a white background,it is typically obtained by drawing a single line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5972.png,elephant,teddy-bear,elephant,a line drawing of an elephant on a white background,a line drawing of an elephant on a white background,It is typically obtained by drawing an elephant on a white background,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/elephant/5946.png,elephant,giraffe,a line drawing of an elephant on a white background,,,by drawing an outline of an elephant on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/elephant/5943.png,elephant,kangaroo,elephant,1 credit usd $1,1 credit usd $1,"it is typically obtained from a zoo, zoo, zoo, zoo, zo","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/trumpet/18936.png,trumpet,teddy-bear,a line drawing of a teddy bear in the shape of a teddy bear in the shape of a,a line drawing of a teddy bear with a bow and arrow on a white background,line drawing of a syringe with a syringe syringe syringe s,by drawing a single line on a white background,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/trumpet/18881.png,trumpet,teddy-bear,a line drawing of a teddy bear shaped like a teddy bear,a line drawing of a teddy bear in the shape of a teddy bear on a white background,a line drawing of a pair of scissors and a pair of pliers,it is typically obtained by obtaining a single line drawing of the object,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/trumpet/18921.png,trumpet,saxophone,saxophone saxophone saxophone saxophone saxophone,saxophone saxophone saxophone saxophone saxophone,saxophone saxophone saxophone saxophone saxophone,it is usually obtained from a syringe or a syringe syringe syringe,"saxophone, clarinet, trumpet, trombone, oboe, clarinet, sax"
/content/Dataset_simple_sketch/test/trumpet/18912.png,trumpet,trumpet,saxophone,"saxophone, trumpet, trombone, trumpeter, trombone, trumpeter, trombone, trombone, trombone,","saxophone, trumpet, trombone, trumpeter, trombone, trombone, trombone, trombone, trombone,",it is usually obtained from a musical instrument store,"saxophones, trumpets, trombones, clarinets, horns, trumpets, trombones"
/content/Dataset_simple_sketch/test/trumpet/18911.png,trumpet,trumpet,trumpet,a drawing of a trumpet on a white background,a trumpet,it is typically obtained from a music store,"in a band, in a band, in a marching band, in a marching band, in a marching band"
/content/Dataset_simple_sketch/test/trumpet/18948.png,trumpet,trumpet,horn,doodle drawing of a trumpet,saxophone,it is typically obtained from a musical instrument store,"a horn, trumpet, trombone, saxophone, flute, clarinet, saxophone,"
/content/Dataset_simple_sketch/test/trumpet/18939.png,trumpet,saxophone,continuous line drawing of a horn,continuous line drawing of a saxophone,continuous line drawing of a saxophone,it is typically obtained by drawing a continuous line on a white background,"saxophones, trumpets, trombones, oboes, clarinets, horns"
/content/Dataset_simple_sketch/test/trumpet/18938.png,trumpet,snail,line drawing of a snail,a line drawing of a snail on a white background,how to draw a line drawing of a snail,it is typically obtained from a snail's shell,"snail shells, snail shells, snail shells, snail shells, snail shells, snail shells, snail shells, snail shell"
/content/Dataset_simple_sketch/test/trumpet/18883.png,trumpet,trumpet,trumpet vector illustration,line drawing of a trumpet on a white background,a trumpet on a white background,it is typically obtained from a music store,"in a band, orchestra, orchestral ensemble, orchestra, band, orchestra, band, band, band, band, band, band, band"
/content/Dataset_simple_sketch/test/trumpet/18916.png,trumpet,trumpet,a trumpet,line drawing of a trumpet on a white background,line drawing of a trumpet on a white background,it is typically obtained from a music store,"in a band, orchestra, orchestra, orchestra, band, band, band, band, band, band, band, band, band, band"
/content/Dataset_simple_sketch/test/trumpet/18907.png,trumpet,saxophone,saxophone saxophone saxophone saxophone saxophone,saxophone,saxophone saxophone saxophone saxophone saxophone,it is typically obtained from a saxophone,"a saxophone, saxophone, saxophone, saxophone,"
/content/Dataset_simple_sketch/test/trumpet/18923.png,trumpet,trumpet,a trumpet,a single line drawing of a trumpet on a white background,line drawing of a trumpet on a white background,it is typically obtained by drawing a single line on a white background,"a concert hall, a concert hall, a concert hall, a concert hall, a concert hall, a concert hall,"
/content/Dataset_simple_sketch/test/trumpet/18952.png,trumpet,trumpet,trumpet,a single line drawing of a trumpet on a white background,a single line drawing of a trumpet on a white background,it is typically obtained by drawing a line on a white background,"a concert hall, a concert hall, a concert hall, a concert hall, a concert hall, a concert hall,"
/content/Dataset_simple_sketch/test/trumpet/18914.png,trumpet,trumpet,saxophone,line drawing of a trumpet,saxophone,it is typically obtained from a musical instrument store,"a concert hall, a concert hall, a concert hall, a concert hall, a concert hall, a concert hall,"
/content/Dataset_simple_sketch/test/trumpet/18895.png,trumpet,saxophone,spherical spherical spherical spherical spherical spherical,line drawing of a saxophone,a syringe with a syringe in it,it is typically obtained by drawing a line on a white background,"a saxophone, a trumpet, a trombone, a saxophone, a trumpet"
/content/Dataset_simple_sketch/test/trumpet/18958.png,trumpet,trumpet,saxophone,1 credit usd $1,saxophone,it is typically obtained from a musical instrument store,"a saxophone, a trumpet, a trombone, a clarinet, a trumpet, a"
/content/Dataset_simple_sketch/test/bulldozer/2638.png,bulldozer,tractor,a plow,drawing of a plow,a plow,it is typically obtained from a plow truck,"a plow, a plow truck, a plow, a plow truck, a p"
/content/Dataset_simple_sketch/test/bulldozer/2578.png,bulldozer,bulldozer,a bulldozer,bulldozer coloring pages bulldozer coloring pages bulldozer coloring pages bulldozer coloring pages bulldozer coloring pages,a bulldozer,it is typically obtained from a manufacturer of construction equipment,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/bulldozer/2614.png,bulldozer,bulldozer,a bulldozer,a line drawing of a bulldozer,"a bulldozer, a bulldozer, a bulldozer, a bulldozer, a",it is typically obtained by drawing a line on a white sheet of paper,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/bulldozer/2616.png,bulldozer,bulldozer,a bulldozer,a bulldozer coloring page,"a bulldozer, a bulldozer, a bulldozer, a bulldozer, a",It is typically obtained from a manufacturer of construction equipment,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/bulldozer/2584.png,bulldozer,teddy-bear,a teddy bear shaped like a teddy bear shaped like a teddy bear shaped like,line drawing of a person sitting in a chair,how to draw a teddy bear with a teddy bear teddy bear teddy bear t,by drawing a line on a white sheet of paper,"a car seat, a car seat cover, a car seat cover, a car seat cover, a car seat cover, "
/content/Dataset_simple_sketch/test/bulldozer/2634.png,bulldozer,tractor,a line drawing of a tractor,a line drawing of a tractor on a white background,a line drawing of a tractor on a white background,by drawing a line on a white piece of paper,"a farm, a farmyard, a farm, a farm, a farm, a farm, a farm, "
/content/Dataset_simple_sketch/test/bulldozer/2627.png,bulldozer,bulldozer,a bulldozer,drawing of a bulldozer - drawing of a bulldozer - drawing of a bulldozer -,"a bulldozer, a bulldozer, a bulldozer, a bulldozer, a",it is typically obtained from a scrapbook or scrapbooking store,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/bulldozer/2568.png,bulldozer,bulldozer,jeep jeep jeep jeep jeep jeep jeep jeep jeep jeep,drawing of a jeep wrangler jeep wrangler jeep wrangler jeep w,jeep jeep jeep jeep jeep jeep jeep jeep jeep jeep,it is typically obtained by drawing a line on a white piece of paper,"in a garage, on a farm, on a construction site, on a construction site, on a construction site, on "
/content/Dataset_simple_sketch/test/bulldozer/2580.png,bulldozer,bulldozer,"backhoe, bulldozer, bulldozer, bulldozer, bulldozer, bulldozer,","backhoe, bulldozer, bulldozer, bulldozer, bulldozer, bulldozer,","backhoe, bulldozer, bulldozer, bulldozer, bulldozer, bulldozer,",using a pencil and a white piece of paper,backhoe loader backhoe loader backhoe loader backhoe loader backhoe loader
/content/Dataset_simple_sketch/test/bulldozer/2620.png,bulldozer,kangaroo,a line drawing of the state of california,map of u.s. state of california,a map of the state of california,it is typically obtained by drawing a line on a white background,map of the united states map of the united states map of the united states map of the united states map of the united states map of the united states
/content/Dataset_simple_sketch/test/bulldozer/2618.png,bulldozer,bulldozer,a bulldozer,a line drawing of a bulldozer,a bulldozer,it is typically obtained by drawing a line on a white background,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/bulldozer/2615.png,bulldozer,bulldozer,a bulldozer,a line drawing of a bulldozer,a snowplow,it is typically obtained by drawing a single line on a white background,"in a toy store, toy store, toy store, toy store, toy store, toy store, toy store"
/content/Dataset_simple_sketch/test/bulldozer/2567.png,bulldozer,bulldozer,a truck,toy truck coloring page,a toy truck,it is typically obtained from a child's drawing of a toy truck,"in a toy store, toy store, toy store, toy store, toy store, toy store, toy store"
/content/Dataset_simple_sketch/test/bulldozer/2596.png,bulldozer,truck,a car,coloring pages for kids coloring pages for kids coloring pages for kids coloring pages for kids coloring pages for kids coloring pages for kids coloring pages for kids coloring pages,a car coloring page,it is typically obtained from a toy store or a toy store that sells toys,"in a car, truck, or other vehicle"
/content/Dataset_simple_sketch/test/bulldozer/2610.png,bulldozer,bulldozer,a line drawing of an excavator,a line drawing of a bulldozer on a white background,a line drawing of an excavator,it is typically obtained by drawing a line on a white background,"construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites,"
/content/Dataset_simple_sketch/test/bulldozer/2569.png,bulldozer,bulldozer,"bulldozer, bulldozer, bulldozer, bulldozer, bulldozer, bulldozer,",a line drawing of a bulldozer on a white background,a bulldozer,by drawing a line on a white background,"construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites,"
/content/Dataset_simple_sketch/test/stapler/16336.png,stapler,teddy-bear,stapler,a line drawing of a stapler on a white background,clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard clipboard,it is typically obtained from a pawn shop,staplers staplers staplers staplers staplers staplers staplers staplers staplers staplers
/content/Dataset_simple_sketch/test/stapler/16376.png,stapler,teddy-bear,stapler,line drawing of a stapler on a white background,a stapler,it is typically obtained from a manufacturer of office supplies,office supply store office supply store office supply store office supply store office supply store office supply store office supply store office supply store office supply store office supply store
/content/Dataset_simple_sketch/test/stapler/16371.png,stapler,ashtray,clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper,clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper,clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper,it is usually obtained from a hardware store,"in a kitchen, in a toolbox, in a toolbox, in a toolbox, in a toolbox, in"
/content/Dataset_simple_sketch/test/stapler/16373.png,stapler,teddy-bear,teddy bear,a line drawing of a pair of scissors on a white background,a line drawing of a pair of scissors on a white background,it is typically obtained from a medical device manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16370.png,stapler,teddy-bear,line drawing of a book,a line drawing of a notebook,line drawing of a paper clip,it is typically obtained from a pawn shop or pawn shop,office supply store
/content/Dataset_simple_sketch/test/stapler/16323.png,stapler,teddy-bear,shape of the item,a line drawing of a pair of scissors on a white background,a line drawing of a pair of scissors,it is typically obtained by cutting a piece of wood with a jigsaw,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16400.png,stapler,teddy-bear,a line drawing of a pair of scissors,audi a4 a5 a6 a7 a8 a9 a10 a11 a12,a) a) b) c) d) e) f) g) h) i),it is typically obtained from a local auto parts store,in a kitchen
/content/Dataset_simple_sketch/test/stapler/16361.png,stapler,teddy-bear,a line drawing of a pair of scissors on a white background,line drawing of a line drawing of a line drawing of a line drawing of a line drawing of a line drawing of a,a line drawing of a pair of scissors on a white background,from a hardware store,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16325.png,stapler,teddy-bear,oblong oblong oblong oblong oblong oblong oblong o,line drawing of a sledge hammer and a sledge hammer with a sledge hammer,a sledge hammer is a tool that is used to hammer a piece of wood into a piece of wood,it is typically obtained by cutting a piece of wood with a chisel,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16332.png,stapler,hot-dog,line drawing of a sandwich,a line drawing of a sandwich on a white background,line drawing of a sandwich,it is typically obtained by cutting a piece of bread with a knife,"in a sandwich, on a sandwich, in a sandwich, on a sandwich, on a sandwich, on a sandwich,"
/content/Dataset_simple_sketch/test/stapler/16382.png,stapler,teddy-bear,a line drawing of a hand,a line drawing of a pair of hands,how to draw a line on a white background,it is typically obtained by drawing a line on a white background,"handbags, purses, hats, jackets, coats, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/stapler/16375.png,stapler,teddy-bear,shape of the item,fender fender fender fender fender fender fender fender fender fender,a) a) b) c) d) e) f) g) h) i),it is typically obtained from a dxf or dwg file,"car, truck, motorcycle, boat, airplane, tv, tv set, tv, tv set, t"
/content/Dataset_simple_sketch/test/stapler/16389.png,stapler,teddy-bear,a line drawing of a piece of paper,saab 9-3 saab 9-3 saab 9-3 saab 9-3 s,"a, b, c, d, e, f, g, h, i, j,",it is typically obtained from a remanufactured vehicle,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16326.png,stapler,kangaroo,one line drawing of a teddy bear on a white background,a line drawing of a teddy bear sleeping on a bed,line drawing of a teddy bear in a teddy bear's teddy bear's te,it is typically obtained by a person who has a medical condition,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/stapler/16366.png,stapler,teddy-bear,line drawing of a stapler on a white background,a line drawing of a stapler on a white background,line drawing of a stapler on a white background,a stapler is a stapler is a stapler is a stapler is a stapler is a stapler is,staplers staplers staplers staplers staplers staplers staplers staplers staplers staplers
/content/Dataset_simple_sketch/test/stapler/16335.png,stapler,teddy-bear,a line drawing of a pencil on a white background,a line drawing of a pencil on a white background,clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper clipper,it is typically obtained by cutting a piece of wood and gluing it to a piece of cardboard,office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies
/content/Dataset_simple_sketch/test/hand/7856.png,hand,hand,a hand,drawing of a hand drawing of a hand drawing of a hand drawing of a hand drawing of a hand drawing of a hand,how to draw a hand,it is typically obtained by drawing a hand on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/hand/7899.png,hand,hand,cactus hand,cactus hand outline vector illustration design,cactus hand,it is typically obtained from a fossilized hand,cactus cactus cactus cactus cactus cactus cactus c
/content/Dataset_simple_sketch/test/hand/7887.png,hand,hand,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,price 1 credit usd $1,price 1 credit usd $1,it is typically obtained by drawing a hand on a white background,"handprints, fingerprints, handprints, handprints, handprints, handprints, handprints, handprints"
/content/Dataset_simple_sketch/test/hand/7888.png,hand,teddy-bear,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,a line drawing of a hand drawn on a white background,how to draw a hand using a pen and paper,it is typically obtained by drawing a line on a white background,a teddy bear's teddy bear teddy bear teddy bear teddy bear
/content/Dataset_simple_sketch/test/hand/7841.png,hand,hand,a hand,a line drawing of a hand with a finger outstretched,a single line drawing of a hand with a finger outstretched,by drawing a single line on a white background,"on a t-shirt, on a t-shirt, on a t-shirt, on a t-"
/content/Dataset_simple_sketch/test/hand/7886.png,hand,hand,a hand,a hand drawn on a white background,how to draw a cactus hand,it is typically obtained from a cactus or a cactus-like plant,cactus cactus cactus cactus cactus cactus cactus c
/content/Dataset_simple_sketch/test/hand/7881.png,hand,hand,line drawing of a hand,a line drawing of a hand on a white background,a line drawing of a hand,it is typically obtained by drawing a line on a white background,"on a t-shirt, on a t-shirt, on a t-shirt, on a t-"
/content/Dataset_simple_sketch/test/hand/7879.png,hand,hand,a line drawing of a hand,a line drawing of a hand reaching out,a line drawing of a hand reaching out,by drawing a line on a white background,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/hand/7889.png,hand,hand,a glove,a line drawing of a glove on a white background,a glove,it is typically obtained from a medical supply store,"a hospital, a doctor's office, a doctor's office, a dentist's office, a dentist's"
/content/Dataset_simple_sketch/test/hand/7851.png,hand,hand,a hand,a line drawing of a hand on a white background,line drawing of a hand with a finger outstretched,it is typically obtained by drawing a line on a white background,"handshakes, handshakes, handshakes, handshakes, handshakes, handshakes, handshakes, handshake"
/content/Dataset_simple_sketch/test/hand/7873.png,hand,hand,a hand,price 1 credit usd $1,,by drawing a line on a white background,"hand gestures, hand gestures, hand gestures, hand gestures, hand gestures, hand gestures, hand gestures, hand gesture"
/content/Dataset_simple_sketch/test/hand/7909.png,hand,hand,a hand,price per credit usd $1,a line drawing of a hand,by drawing a line on a white background,"on a t-shirt, on a t-shirt, on a t-shirt, on a t-"
/content/Dataset_simple_sketch/test/hand/7864.png,hand,hand,a hand,a line drawing of a hand,how to draw a hand,by drawing a single line on a white background,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/hand/7911.png,hand,hand,a hand,a line drawing of a hand,how to draw a hand,by drawing a line from the tip of the finger to the tip of the hand,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/hand/7884.png,hand,hand,a hand,a line drawing of a hand on a white background,a line drawing of a hand on a white background,it is typically obtained by drawing a hand on a white background,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/hand/7905.png,hand,hand,a hand,a line drawing of a hand,a line drawing of a hand,it is typically obtained by drawing a hand on a white background,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/zebra/19973.png,zebra,zebra,zebra,zebra coloring pages,a zebra coloring page,a zebra is drawn on a white background,"zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/zebra/19984.png,zebra,zebra,zebra,a line drawing of a zebra on a white background,a line drawing of a zebra,by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19952.png,zebra,zebra,zebra,zebra head line drawing,how to draw a zebra,"from a zoo, zoo, zoo, zoo, zoo, z","zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/zebra/19996.png,zebra,kangaroo,a zebra,a line drawing of a zebra on a white background,a zebra,it is typically obtained from a zoo or zoological park,"animal shelters, zoos, zoos, zoos, zoos, z"
/content/Dataset_simple_sketch/test/zebra/20000.png,zebra,kangaroo,a line drawing of a giraffe,a line drawing of a sheep,a line drawing of a giraffe,it is obtained by drawing a line on a white background,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19995.png,zebra,zebra,zebra,line drawing of a zebra,a zebra,a zebra is drawn with a single line on a white background,"zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/zebra/19988.png,zebra,zebra,zebra,1 credit usd $1,1 credit usd $1,it is typically obtained by drawing a zebra on a white background,"zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/zebra/19998.png,zebra,zebra,zebra,line drawing of a zebra,a line drawing of a zebra,it is typically obtained by drawing a zebra on a white background,"a zoo, zoo, zoo, zoo, zoo, zo"
/content/Dataset_simple_sketch/test/zebra/19976.png,zebra,tiger,a line drawing of a tiger,,,it is usually obtained by cutting a piece of meat from a carcass,"a zoo, zoo, zoo, zoo, zoo, zo"
