Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/chandelier/4103.png,chandelier,a line drawing of a chandelier,the drawing is a single line drawing of a chandelier,a chandelier,from a lighting store,"dining room, living room, bedroom, dining room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/chandelier/4082.png,chandelier,the item is shaped like a tower,the drawing is a black and white line drawing of a candle holder,a candle holder,it is usually obtained as a gift from a friend or family member,"weddings, christenings, christenings, weddings, christenings, christenings,"
/content/Dataset_simple_sketch/test/chandelier/4137.png,chandelier,the shape of the item is a line drawing of a tree,"there is a tree in the middle of the image, and a tree in the middle of the image",it is a branch of a tree,from a tree,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/chandelier/4104.png,chandelier,a single line drawing of a chandelier,a single line drawing of a chandelier,a light fixture,from a store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/chandelier/4153.png,chandelier,a line drawing of a chandelier,a single line drawing of a chandelier with four candle holders,a candle holder,from a reputable source,"dining room, living room, bedroom, bathroom, kitchen, dining room, living room, bedroom, bathroom, kitchen, dining room, living room,"
/content/Dataset_simple_sketch/test/chandelier/4115.png,chandelier,a single line drawing of a group of people,a single line drawing of a woman holding a baby in her arms,it is a symbol of the muslim faith,from a reputable source,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/suv/16801.png,suv,a line drawing of a car on a white background,the drawing is a single line drawing of a car on a white background,it is a vehicle,from a car dealership,"on a bus, on a train, on a bus, on a train, on a bus, on a bus,"
/content/Dataset_simple_sketch/test/suv/16806.png,suv,the shape of the item is a car,the vehicle is a jeep,it is a vehicle,from a car dealership,"car dealerships, car dealerships, car dealerships, car dealerships, car dealerships, car dealerships, car dealerships, car dealership"
/content/Dataset_simple_sketch/test/suv/16873.png,suv,a doodle of a car on a white background,the car is parked on the side of the road,it is a vehicle,from a car rental company,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/suv/16878.png,suv,the shape of the item is a vw camper van,the vw bus is a vw bus vw bus vw bus vw bus vw bus v,it is a vehicle,from a vw van,"in a car, truck, van, or other vehicle"
/content/Dataset_simple_sketch/test/suv/16847.png,suv,a line drawing of a car,the car is a chevrolet silverado pickup truck,a vehicle,from a car dealership,"in a car, truck, van, or other vehicle"
/content/Dataset_simple_sketch/test/suv/16854.png,suv,the shape of the item is a car,the vehicle has a hood and a rear window,a vehicle,from a car rental company,"school buses, taxis, cabs, buses, vans, minibuses, minibuses, minibuses,"
/content/Dataset_simple_sketch/test/suv/16874.png,suv,a line drawing of a car,the car has a hood and a rear window,it is a vehicle,from a car dealership,"in a car, truck, van, or other vehicle"
/content/Dataset_simple_sketch/test/suv/16808.png,suv,the shape of the item is a car,the car has a hood and a roof,it is a vehicle,from a car dealership,"in a car, truck, van, or other vehicle"
/content/Dataset_simple_sketch/test/suv/16841.png,suv,the item is shaped like a banana,there is a banana in the middle of the image,it's a banana,in the form of a banana,"a car, a boat, a plane, a train, a plane, a boat, a plane, a"
/content/Dataset_simple_sketch/test/suv/16852.png,suv,a line drawing of a car,the shape of the car is a rectangle with a rounded top and a rounded bottom,it is a vehicle,from a car dealership,"in a car, on a truck, on a boat, on a plane, on a train, on a plane,"
/content/Dataset_simple_sketch/test/suv/16861.png,suv,a line drawing of a car,"the car is drawn in a single line, with a small circle in the middle of the image",it is a vehicle,from a car dealership,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/suv/16865.png,suv,a line drawing of a bus,the shape of the bus is a rectangle,a vehicle,from a doodle artist,"school bus, school bus, school bus, school bus, school bus, school bus, school bus, school bus, school bus, school bus,"
/content/Dataset_simple_sketch/test/suv/16856.png,suv,a line drawing of a car,"the shape of the car's hood, the shape of the car's hood, the shape of the car's hood,",it is a car,from a manufacturer,"in a book, on a poster, on a t-shirt, on a hat, on a shirt, on"
/content/Dataset_simple_sketch/test/suv/16809.png,suv,the shape of the item is a car,the van has a hood and a hoodie,a vehicle,from a car dealership,"in a coloring book, on a coloring page, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/suv/16804.png,suv,the shape of the item is a car,the vehicle is a toyota land cruiser,a vehicle,from a dealer,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/suv/16813.png,suv,a car,the car is a jeep wrangler,it is a vehicle,from a car dealership,"in a car, truck, van, or SUV"
/content/Dataset_simple_sketch/test/apple/369.png,apple,the shape or form of the item is an apple,the shape of the apple,it is a drawing of an apple,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/383.png,apple,apple,the shape of the apple is oblique,it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/355.png,apple,the shape of an apple,"the shape of the apple is oblong, and the shape of the leaf is oblong",it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/368.png,apple,the shape or form of the item is an apple,the shape of the apple,it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/339.png,apple,the shape of the item is a circle,the shape of the apple,it is a drawing of an apple,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/361.png,apple,a line drawing of an apple,the shape of the apple and the shape of the leaf,is it a fruit or a vegetable?,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/399.png,apple,the shape or form of the item is an apple,the shape of the apple,it is a drawing of an apple,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/327.png,apple,the shape or form of the item is apple,"the shape of the apple, the color of the apple, and the size of the apple",it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/337.png,apple,apple,the shape of the apple,it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/323.png,apple,the shape of the item is a lemon,"the shape of the fruit is oblong, and the shape of the leaf is oblong",it is a fruit,in the form of a citrus fruit,"grocery stores, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/apple/364.png,apple,the shape or form of the item is apple,"the shape of the apple, the color of the apple, the size of the apple, the shape of the apple, and the color of the apple",it is a drawing of an apple,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/363.png,apple,apple,the shape of the apple,it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/400.png,apple,the shape of the item is a circle,the shape of the apple,it is a fruit,from a farmer's market or farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/338.png,apple,apple,the shape of the apple,it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/379.png,apple,can you describe the shape or form of the item,"the shape of the apple is oblong, and the shape of the apple is oblong",it is a fruit,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/apple/335.png,apple,apple,"the shape of the apple is oblong, and the shape of the apple is oblong",is it a fruit or a vegetable?,from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/pen/11931.png,pen,a line drawing of a pen on a white background,the tip of the pen is curved,a writing utensil,from a stationery store,"notebooks, notebooks, notebooks, notebooks, notebooks, notebooks, notebooks, notebooks, notebooks, notebooks,"
/content/Dataset_simple_sketch/test/pen/11943.png,pen,pen,the pen has a slanted tip,a writing instrument,from a stationery store,"notebooks, pens, pencils, pens, pens, pens, pens, pens, pens, pens,"
/content/Dataset_simple_sketch/test/pen/11933.png,pen,a line drawing of a pen,the tip of the pen is curved,a writing utensil,from a store,"fountain pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen"
/content/Dataset_simple_sketch/test/pen/11978.png,pen,line drawing of a pen on a white background,the pen has a slanted tip,a pen,from a manufacturer,"notebooks, pens, pencils, pens, pencils, pens, pens, pens, pens, pens,"
/content/Dataset_simple_sketch/test/pen/11941.png,pen,a line drawing of a boat,the shape of the wing and the shape of the tail,a part of a vehicle,from the manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/pen/11938.png,pen,the shape of the item is a feather,the shape of the feather and the direction of the line,it is a line drawn on a white background,it is usually obtained from a bird's nest or from a bird's nest in a bird's nest,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/pen/11927.png,pen,a line drawing of a syringe,the image is a line drawing of a pen and a pencil,it is a syringe,from a manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/pen/11985.png,pen,a pen,the pen has a rounded tip and a slanted tip,a writing utensil,from a store,"pens, pencils, rulers, rulers, rulers, rulers, rulers, rulers, rulers, rulers,"
/content/Dataset_simple_sketch/test/pen/11973.png,pen,pen,the pen is a fountain pen,a writing instrument,from a pen store,"fountain pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen"
/content/Dataset_simple_sketch/test/pen/11975.png,pen,a line drawing of a pencil,a pencil is drawn in a single line,a writing instrument,from a pencil sharpener,"pencil case, pencil case, pencil case, pencil case, pencil case, pencil case, pencil case, pencil case, pencil case, pencil case,"
/content/Dataset_simple_sketch/test/pen/11984.png,pen,a line drawing of a pen,it is a single line drawing of a knife,a utensil or utensil utensil utensil utensil u,from a medical supply store,"kitchen, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchen"
/content/Dataset_simple_sketch/test/pen/11966.png,pen,a single line drawing of a hand holding a pen,there is a slit in the middle of the sleeve and a slit in the sleeve,it is a tool used to draw a line on a white background,it is usually obtained from a pawn shop or pawnbroker,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/pen/11992.png,pen,a line drawing of a pen on a white background,a single line drawing of a pen on a white background,a writing utensil,from a store,"pens, pencils, pens, pencils, pens, pens, pens, pens, pens, pens,"
/content/Dataset_simple_sketch/test/pen/11930.png,pen,pen,the pen is shaped like a pen,a writing instrument,from a stationery store,"a pencil case, a pencil case, a pencil case, a pencil case, a pencil case, a pencil case,"
/content/Dataset_simple_sketch/test/pen/11967.png,pen,a line drawing of a knife on a white background,a knife is drawn with a single line on a white background,utensil,from a chef's knife,"kitchen, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchen"
/content/Dataset_simple_sketch/test/pen/11996.png,pen,pen,the pen is a fountain pen,a writing instrument,from a pen store,"fountain pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen"
/content/Dataset_simple_sketch/test/scorpion/14424.png,scorpion,a scorpion,the scorpion has a stinger attached to it's tail,a scorpion,in the form of a scorpion,"a bug's nest, a bug's nest, a bug's nest, a bug's nest, a"
/content/Dataset_simple_sketch/test/scorpion/14409.png,scorpion,a scorpion,the scorpion has a stinger on its tail,a scorpion,in the form of a scorpion,"a scorpion's stinger, a scorpion's stinger, a scorpion's stinger,"
/content/Dataset_simple_sketch/test/scorpion/14407.png,scorpion,the shape of the item is a line drawing of a scorpion,the scorpion has a stinger on its tail,it is a scorpion,from a pet store,"on a t-shirt, on a hat, on a shirt, on a hat, on a shirt,"
/content/Dataset_simple_sketch/test/scorpion/14456.png,scorpion,a line drawing of a scorpion,the scorpion has a tail and a stinger,it is a scorpion,from a fisherman's net,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/scorpion/14475.png,scorpion,a line drawing of a scorpion,the scorpion has a stinger on its tail,a scorpion,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/scorpion/14444.png,scorpion,the shape of the item is a scorpion,the scorpion has a stinger on its tail,it is a scorpion,"from a zoo, aquarium, or zoo","children's books, encyclopedias, encyclopedias, encyclopedias, encyclopedias, "
/content/Dataset_simple_sketch/test/scorpion/14416.png,scorpion,a line drawing of a scorpion,the scorpion has a stinger attached to it's tail,it is a scorpion,from a fisherman's net,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/scorpion/14465.png,scorpion,a line drawing of a scorpion,the scorpion has a stinger on it's tail,a scorpion,"in the form of a t-shirt, sweatshirt, hoodie, sweatshirt, hoodie, sweatshirt,","tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos,"
/content/Dataset_simple_sketch/test/scorpion/14479.png,scorpion,the shape of the item is a line drawing of a scorpion,the scorpion has a stinger on its tail,a scorpio scorpio scorpio scorpio scorpio scorp,from a zoo or aquarium,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/scorpion/14440.png,scorpion,a line drawing of a crab,the crab has a long tail and a slender body,it is a crab,from a fisherman's net,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/scorpion/14434.png,scorpion,a line drawing of a scorpion,the scorpion has a stinger in its mouth,it is a scorpion,in the form of a scorpion,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/scorpion/14455.png,scorpion,the shape of the item is a line drawing of a scorpion,the scorpion has a stinger in its mouth,it is a drawing of a scorpion,in the form of a tattoo,"a scorpion can be found in a variety of places, such as a scorpion's nest, a scorpion's"
/content/Dataset_simple_sketch/test/scorpion/14402.png,scorpion,the shape of the item is a crab,the shape of the crab's body and the shape of its legs,as a food source,from a fisherman's net,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/scorpion/14432.png,scorpion,a scorpion,the scorpion has a long snout and a long tail,it is a scorpion,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/scorpion/14404.png,scorpion,scorpio scorpio scorpio scorpio scorpio scorpio,the crocodile has a long tail,it is a crocodile,from a fisherman's net,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/scorpion/14438.png,scorpion,a line drawing of a hand holding a carrot,the drawing is a single line drawing of a hand holding a carrot,it's a teddy bear,from a fisherman's net,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/tiger/17906.png,tiger,a line drawing of a cat,the outlines of the cat's body are drawn in a zigzag pattern,cat,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17881.png,tiger,a line drawing of a wolf,the animal has a long tail and a snout,as a character in a game,"from a zoo, aquarium, or zoo","in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/tiger/17890.png,tiger,a line drawing of a tiger,the tiger is wearing a t-shirt,as a character in a story,from a pawn shop,"children's books, coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/tiger/17846.png,tiger,a tiger's head,the tiger's face is drawn in black and white,a tiger's head,"from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17845.png,tiger,a tiger,the tiger is wearing a t-shirt,it is a tiger coloring page,"from a zoo, zoo, zoo, zoo, zoo, z",a tiger coloring page
/content/Dataset_simple_sketch/test/tiger/17870.png,tiger,a line drawing of a cat,"the cat's head is tilted to one side, and the tail is splayed out",a character in a game,in the form of a teddy bear,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17858.png,tiger,a line drawing of a zebra,the animal is a zebra,it is a zebra,from a zoo,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17892.png,tiger,a tiger,the tiger is wearing a t-shirt,it is a tiger,in the form of a pokemon card,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/tiger/17903.png,tiger,a line drawing of a tiger,the tiger is a black and white drawing of a tiger,a tiger,"from a zoo, aquarium, or zoo","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17918.png,tiger,a line drawing of a tiger,the tiger is a black and white drawing of a tiger,a tiger,"from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17916.png,tiger,a tiger,the tiger's head is tilted to the side,a tiger,"from a zoo, zoo, zoo, zoo, zoo, z","a tiger coloring page, a tiger coloring page, a tiger coloring page, a tiger coloring"
/content/Dataset_simple_sketch/test/tiger/17841.png,tiger,a tiger,the tiger is a black and white drawing of a tiger,it is a tiger,"from a zoo, zoo, zoo, zoo, zoo, z","a tiger coloring page, a tiger coloring page, a tiger coloring page, a tiger coloring"
/content/Dataset_simple_sketch/test/tiger/17862.png,tiger,a line drawing of a tiger,the tiger's head is tilted to the side,it is a tiger,"from a zoo, aquarium, or zoo","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17843.png,tiger,a line drawing of a cat,the cat's head is tilted to the side,it is a line drawing of a cat,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17867.png,tiger,a line drawing of a tiger,the tiger is a black and white drawing of a tiger,it is a tiger,"from a zoo, aquarium, or zoo","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tiger/17853.png,tiger,a line drawing of a lion,the lion's head is tilted to the side,a lion,from an artist's shop,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dog/5285.png,dog,a line drawing of a dog,the dog is wearing a collar,dog,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dog/5303.png,dog,a line drawing of a dog,the dog is a chihuahua,is a member of a species,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,"dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring"
/content/Dataset_simple_sketch/test/dog/5305.png,dog,a line drawing of a dog,the drawing is a single line drawing of a dog with a rope attached to it,it's a dog,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dog/5301.png,dog,a line drawing of a dog,the dog is a dachshund,a dog,from a pet store,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/dog/5340.png,dog,the shape of the item is spherical,the dog is wearing a collar,dog coloring pages,from a pet store,"dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring"
/content/Dataset_simple_sketch/test/dog/5284.png,dog,a line drawing of a dog,the dog has a tongue sticking out of its mouth,is a character in a story,a credit usd $1,"dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring"
/content/Dataset_simple_sketch/test/dog/5315.png,dog,a line drawing of a dog,the dog's head is tilted to the side,is a character in a comic book or graphic novel,from a pet store,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/dog/5287.png,dog,a line drawing of a dog,the outline of a dog's head,a dog,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dog/5308.png,dog,the shape of the item is a line drawing of a dog,the dog's head is tilted to the side,is a character in a story,from a pet store,"dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring pages, dog coloring"
/content/Dataset_simple_sketch/test/dog/5316.png,dog,a line drawing of a dog,the wolf has a tail and a snout,a symbol for a dog,from a tattoo artist,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dog/5289.png,dog,a line drawing of a dog,the dog is wearing a collar,a dog,from a pet store,"dog collars, dog collars, dog collars, dog collars, dog collars, dog collars, dog collars, dog collar"
/content/Dataset_simple_sketch/test/dog/5310.png,dog,a line drawing of a crocodile,the drawing is a simple line drawing of a crocodile,a lizard,"from a zoo, aquarium, or zoo","kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/dog/5341.png,dog,a line drawing of a dog,the wolf's mouth is open and the wolf's head is tilted,a dog,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dog/5317.png,dog,a line drawing of a dog,the dog is wearing a bowtie,as a character in a story,from a pet store,"on a dog's collar, on a dog's collar, on a dog's collar, on a dog's"
/content/Dataset_simple_sketch/test/dog/5358.png,dog,the item is shaped like a dog,the shape of the animal's head and the shape of its body,a jigsaw puzzle,from a jigsaw puzzle,"jigsaw puzzles, jigsaw puzzles, jigsaw puzzles, jigsaw puzzle"
/content/Dataset_simple_sketch/test/dog/5349.png,dog,a line drawing of a cat,the cat is wearing a collar,a character in a story,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/head/8089.png,head,a line drawing of a man's face,the man's eyes are closed and his mouth is open,a person's face,from a tattoo artist,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/head/8148.png,head,a continuous line drawing of a person's head,the man's head is tilted to the right,a person's head,by drawing a continuous line on a white background,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/head/8105.png,head,face,the face has a slight smirk and a slight smirk,a person's face,from a tattoo artist or tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/head/8118.png,head,outline of a person's head and shoulders,"the person's hair is a light brown, and the person's face is a dark brown",a person's profile,from a person's profile,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/head/8093.png,head,line drawing of a man's head,the man's head is tilted slightly to the right,a person's head,by drawing a line from the top of the head to the bottom of the head,"hairdressers, hairdressers, hairdressers, hairdressers, hairdressers, hairdressers, hairdressers, hairdress"
