Path,Category,Prediction,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/ant/298.png,ant,ant,ant,the ant is a black and white drawing of a black and white drawing of a black and white drawing of a black and white,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,in the form of a bug,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/250.png,ant,ant,beetle,the bug has a long tail and a slender body,beetle,in the form of a beetle,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/242.png,ant,beetle,beetle,the insect has a long antennae and a slender body,beetle,from a beetle,"anthills, anthills, anthills, anthills, anthills, anthills,"
/content/Dataset_simple_sketch/test/ant/264.png,ant,ant,ant,the ant's legs are long and the ant's head is slanted,ant,in the form of a drawing of an ant,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/303.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,"the ant is wearing a hat, and the ant is wearing a hat",ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,from the ant's body,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/245.png,ant,ant,ant,the ant is a black and white drawing of a bug,ant,from a bug's body,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/ant/276.png,ant,ant,the shape of the item is a humanoid,the ant's head is tilted to the side,ant,in a dungeon or dungeons and dragons game,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/247.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,"the ant's legs are long and splayed out, and the ant's head is splayed out",ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,"from a zoo, aquarium, or zoo","ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/243.png,ant,teddy bear,the shape of the item is a line drawing,the drawing is a single line drawing of a teddy bear with a teddy bear's head,it is a character in a comic book,it is typically obtained as a gift from a friend or family member,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/ant/313.png,ant,beetle,beetle,there is a stinger in the middle of the ant's body,beetle,from a bee hive,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/307.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,the ant has a long tail and a slender body,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,from an ant's nest,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/ant/316.png,ant,ant,ant,the ant has a slender body and a slender tail,ant,in the form of a drawing,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/287.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,the ant has a slender body and a slender tail,ant,"from a zoo, aquarium, or zoo","ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/ant/277.png,ant,beetle,a line drawing of a beetle,there is a slit in the middle of the insect's body,beetle,in the form of a bug,"in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the"
/content/Dataset_simple_sketch/test/ant/308.png,ant,ant,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,the ant has two legs and a head,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,from the ant's body,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/arm/430.png,arm,a hand,a line drawing of a hand reaching out,there is a line drawing of a hand reaching out,it is a hand,from a tattoo artist,"handbags, purses, hats, t-shirts, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/arm/447.png,arm,a teddy bear,the shape of the item is a line drawing of a hand,the shape of the wing is curved,it is a wing,"from a zoo, zoo, zoo, zoo, zoo, z","kitchen, bathroom, bedroom, living room, bedroom, bathroom, kitchen, bedroom, bathroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/arm/446.png,arm,a hand,a line drawing of a hand reaching out,the drawing is a single line drawing of a hand reaching out,it's a hand,"it is usually obtained from a zoo, zoo, zoo, zoo, zo","t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/arm/438.png,arm,a teddy bear,the shape of the item is a line drawing of a human arm,there is a slit in the arm and a slit in the hand,it is a part of a person's body,from a tattoo artist,"handbags, purses, backpacks, hats, jackets, coats, shirts, hats, jackets,"
/content/Dataset_simple_sketch/test/arm/462.png,arm,a teddy bear,the shape or form of the item is oblong,the shape of the letter l is a squarish octagon with a rounded tip,it is a drawing of a boat,"in the form of a t-shirt, sweatshirt, hoodie, sweatshirt, hoodie, sweatshirt,","kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/arm/445.png,arm,a hand,a line drawing of a hand,"there is a line drawing of a hand with a thumb and forefinger, and a line drawing of a hand with",it is a hand,"it is typically obtained from a person's arm, hand, or leg","handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/454.png,arm,a drawing of a woman's torso,a line drawing of a woman's body,the outline of a woman's torso,a body part,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/arm/457.png,arm,a hand,a line drawing of a hand,the outline of a hand with a hand outstretched,a person's arm,from a tattoo artist,"kitchen, bathroom, bedroom, living room, bedroom, kitchen, bathroom, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/arm/420.png,arm,a hand,the shape of the item is a line drawing of a hand,there is a sleeve on the left side of the arm,it's a hand,it is typically obtained from a person's arm,"handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/403.png,arm,a hand,a line drawing of a human arm,the arm has a curved sleeve and a curved sleeve,it is a limb,it is usually obtained from a person's arm,"handbags, purses, hats, jackets, shirts, hats, hats, hats, "
/content/Dataset_simple_sketch/test/arm/418.png,arm,a hand,the shape of the item is a line drawing of a hand reaching out,there is a slit in the arm and a slit in the hand,it is a hand,it is typically obtained from a person's hand,"handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/441.png,arm,a hand,the shape of the item is a line drawing of an arm,the shape of the arm is a straight line with a curve at the end,it is a hand,from a tattoo artist,"handbags, purses, backpacks, hats, jackets, shirts, hats, mittens, gloves,"
/content/Dataset_simple_sketch/test/arm/453.png,arm,a bottle,the shape of the item is a spherical shape,the shape of the bottle's neck and the shape of the bottle's mouth,it is a drawing of a person's body,it is typically obtained from a teddy bear,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/arm/470.png,arm,a teddy bear,a line drawing of a person with arms outstretched,the person's arms are outstretched,it is a person's arm,it is usually obtained from a tattoo parlour,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/arm/429.png,arm,a hand,the shape of the item is a line drawing of an arm,the shape of the arm and the shape of the hand,it is a part of a person's body,from a tattoo artist,"handbags, purses, hats, jackets, shirts, hats, jackets, shirts, hats"
/content/Dataset_simple_sketch/test/arm/402.png,arm,a hand,a line drawing of a hand reaching out,there is a line drawing of a hand reaching out,it's a hand,it is typically obtained from a person's arm,"handbags, purses, hats, jackets, shirts, hats, hats, hats, "
/content/Dataset_simple_sketch/test/santa claus/14025.png,santa claus,santa claus,santa claus santa claus santa claus santa claus s,santa claus is wearing a beard and hat,santa claus coloring pages,from a santa claus coloring page,santa claus coloring pages santa claus coloring pages santa claus coloring pages sant
/content/Dataset_simple_sketch/test/santa claus/14028.png,santa claus,santa claus,a line drawing of a man with a beard and mustache,he has a mustache and a beard,mascot,from a tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/santa claus/14017.png,santa claus,santa claus,santa claus santa claus santa claus santa claus s,santa claus is wearing a beard,santa claus santa claus santa claus santa claus s,from a santa claus coloring book,in a santa claus coloring book
/content/Dataset_simple_sketch/test/santa claus/14029.png,santa claus,santa claus,santa claus santa claus santa claus santa claus s,the santa claus is wearing a beard,santa claus santa claus santa claus santa claus s,from a santa claus santa claus santa claus santa cla,"santa's sleigh, santa's sleigh, santa's sleigh,"
/content/Dataset_simple_sketch/test/santa claus/14040.png,santa claus,santa claus,santa claus,santa claus is wearing a beard and hat,santa claus,from a santa claus coloring page,santa claus coloring pages santa claus coloring pages santa claus coloring pages sant
/content/Dataset_simple_sketch/test/santa claus/14054.png,santa claus,santa claus,santa claus santa claus santa claus santa claus s,the santa claus is wearing a santa hat,santa claus,from a santa claus sack,santa claus santa claus santa claus santa claus s
/content/Dataset_simple_sketch/test/santa claus/14013.png,santa claus,santa claus,a man with a beard and a hat,he has a beard and a hat,a symbol of a god or deity,in the form of a teddy bear,in a teddy bear's teddy bear's teddy bear's teddy bear'
/content/Dataset_simple_sketch/test/santa claus/14064.png,santa claus,santa claus,santa claus santa claus santa claus santa claus s,santa claus is wearing a santa claus hat,santa claus coloring page,from a santa claus coloring page,santa claus coloring pages santa claus coloring pages santa claus coloring pages sant
/content/Dataset_simple_sketch/test/santa claus/14001.png,santa claus,santa claus,santa claus santa claus santa claus santa claus s,the santa claus is wearing a santa claus hat,santa claus santa claus santa claus santa claus s,from a santa claus gift box,santa claus santa claus santa claus santa claus s
/content/Dataset_simple_sketch/test/santa claus/14045.png,santa claus,santa,santa claus santa claus santa claus santa claus s,the santa is wearing a santa hat and is wearing a santa hat,santa claus,from a santa claus hat,santa claus santa claus santa claus santa claus s
/content/Dataset_simple_sketch/test/santa claus/14034.png,santa claus,santa claus,santa claus,santa claus has a beard and mustache,santa claus coloring page,from a santa claus coloring page,"in a santa claus coloring book, santa claus coloring pages, santa claus"
/content/Dataset_simple_sketch/test/santa claus/14026.png,santa claus,gift,a line drawing of a man holding a gift,the man is wearing a hat with a bird on it,a gift,from a santa claus gift card,"christmas cards, greeting cards, greeting cards, christmas cards, christmas cards, christmas cards, christmas cards, christmas cards, christmas cards, christmas cards,"
/content/Dataset_simple_sketch/test/santa claus/14043.png,santa claus,santa claus,a single line drawing of a man holding a sword,the man is wearing a hat and holding a sword,santa claus,from a santa claus gift card,"christmas cards, t-shirts, mugs, mugs, mugs, mugs, mugs, mug"
/content/Dataset_simple_sketch/test/santa claus/14022.png,santa claus,santa claus,santa claus coloring page,the santa claus is wearing a santa claus hat,santa claus coloring page,from a santa claus coloring page,santa claus coloring pages santa claus coloring pages santa claus coloring pages sant
/content/Dataset_simple_sketch/test/santa claus/14030.png,santa claus,santa claus,santa claus santa claus santa claus santa claus s,santa claus is wearing a hat and a beard,santa claus santa claus santa claus santa claus s,from a santa claus coloring page,santa claus santa claus santa claus santa claus s
/content/Dataset_simple_sketch/test/santa claus/14068.png,santa claus,gnome,the item is shaped like a hat,the gnome is wearing a hat,a hat,"in the form of a t-shirt, sweatshirt, or hoodie","in a santa claus hat, a santa claus hat, a sant"
/content/Dataset_simple_sketch/test/hand/7879.png,hand,hand,a line drawing of a hand,the hand is drawn in a single line,it is a hand,it is usually obtained from a tattoo artist or tattoo parlour,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/hand/7909.png,hand,hand,a line drawing of a hand,the shape of the hand is a straight line,it is a hand,a credit usd $1,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/hand/7899.png,hand,cactus,the shape of the item is a hand,"the shape of the hand is a cactus, and the shape of the palm is a cactus",it is a hand drawn on a white background,in the form of a hand drawn on a white background,cactus cactus cactus cactus cactus cactus cactus c
/content/Dataset_simple_sketch/test/hand/7856.png,hand,hand,the shape or form of the item is a hand,"the hand has four fingers and a thumb, as well as a ring finger and a pinky finger",a hand,it is usually obtained from a tattoo parlour,"handbags, purses, hats, jackets, shirts, hats, mittens, scarves, "
/content/Dataset_simple_sketch/test/hand/7886.png,hand,cactus,the shape or form of the item is a hand,"the shape of the hand is oblong, and the shape of the palm is oblong",it is a hand drawn on a white background,from a cactus,cactus cactus cactus cactus cactus cactus cactus c
/content/Dataset_simple_sketch/test/hand/7888.png,hand,hand,the shape of the item is a line drawing of a hand,"the shape of the hand is oblique, and the shape of the hand is oblique, and the shape of the hand is",it is a hand,in the form of a drawing of a hand,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/hand/7889.png,hand,a glove,a line drawing of a hand,there is a glove on the left hand and a glove on the right hand,a glove,from a medical supply store,"kitchen, bathroom, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware"
/content/Dataset_simple_sketch/test/hand/7905.png,hand,hand,a line drawing of a hand,the hand is drawn in a single line,a hand,it is usually obtained from a zoo or zoological park,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/hand/7851.png,hand,hand,a line drawing of a hand,the shape of the hand is slanted to the right,a hand,it is typically obtained from a person's hand,"handprints, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos"
/content/Dataset_simple_sketch/test/hand/7864.png,hand,hand,a line drawing of a hand,the drawing is a single line drawing of a hand with two fingers and a thumb,it is a hand,from a tattoo artist,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/hand/7911.png,hand,hand,the shape or form of the item is a hand,"the shape of the hand, the shape of the fingers, the shape of the palm, the shape of the fingers, the shape of the palm,",it is a hand,it is usually obtained from a tattoo artist or a tattoo parlour,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/hand/7873.png,hand,hand,the shape of the item is a line drawing of a hand,the shape of the hand and the shape of the fingers,a hand gesture,from a tattoo artist,"hand gestures, hand gestures, hand gestures, hand gestures, hand gestures, hand gestures, hand gestures, hand gesture"
/content/Dataset_simple_sketch/test/hand/7881.png,hand,hand,a line drawing of a hand,the shape of the hand is slanted to the right,it is a hand,"it is usually obtained from a zoo, zoo, zoo, zoo, zo","t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/hand/7884.png,hand,hand,the shape or form of the item is a hand,the outline of the hand has a curved shape,a hand,it is usually obtained from a tattoo parlour,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/hand/7887.png,hand,hand,the shape or form of the item is a hand,the outline of a hand is drawn on a white background and the outline of a hand is drawn on a white background,is a hand drawn on a white background,price 1 credit usd $1,"handprints, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos, tattoos"
/content/Dataset_simple_sketch/test/hand/7841.png,hand,hand,the shape of the item is a line drawing of a hand,"the shape of the hand, the shape of the fingers, the shape of the palm, the shape of the fingers, the shape of the palm,",a hand,it is usually obtained from a tattoo artist or tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/bulldozer/2568.png,bulldozer,a truck,the shape of the item is a truck,the vehicle is a jeep wrangler wrangler jeep wrangler jeep wrangler,it is a vehicle,from a scrap yard,"car repair shops, auto repair shops, auto repair shops, auto repair shops, auto repair shops, auto repair shops, auto repair shops, auto repair"
/content/Dataset_simple_sketch/test/bulldozer/2578.png,bulldozer,bulldozer,"a bulldozer, bulldozer, bulldozer, bulldozer, bulldozer, bulldo",there is a bulldozer in the background,a bulldozer,from a construction company,"construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites,"
/content/Dataset_simple_sketch/test/bulldozer/2620.png,bulldozer,t-shirt,a line drawing of the united states of america,the outline of the state of california and the outline of the state of california,is a map of the united states of america,it is typically obtained as a gift for a friend or family member,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/bulldozer/2615.png,bulldozer,bulldozer,a line drawing of a bulldozer,the drawing is a line drawing of a bulldozer,a toy,from a toy store,"children's books, coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/bulldozer/2596.png,bulldozer,a car,a car,the vehicle is a toy truck with a shovel attached to it,a vehicle,from a toy store,"children's coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/bulldozer/2627.png,bulldozer,bulldozer,a bulldozer,there is a bulldozer in the background,a bulldozer,"in the form of a t-shirt, sweatshirt, hoodie, or hooded sweatshirt","a farm, a construction site, a construction site, a construction site, a construction site, a construction site, "
/content/Dataset_simple_sketch/test/bulldozer/2614.png,bulldozer,bulldozer,a bulldozer,the drawing is a single line drawing of a bulldozer,it is a snow plow,in the form of a drawing,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/bulldozer/2569.png,bulldozer,bulldozer,"bulldozer, bulldozer, bulldozer, bulldozer, bulldozer, bulldozer,",there is a bulldozer in the background,"bulldozer, bulldozer, bulldozer, bulldozer, bulldozer, bulldozer,",from a construction company,"construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites,"
/content/Dataset_simple_sketch/test/bulldozer/2610.png,bulldozer,excavator,a line drawing of an excavator,the image is a line drawing of an excavator,an excavator,from a construction company,"construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites,"
/content/Dataset_simple_sketch/test/bulldozer/2567.png,bulldozer,a truck,a toy truck,"the truck has a hood, a hood, a hood, a hood, a hood, a",a toy,from a toy store,"children's coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/bulldozer/2584.png,bulldozer,a chair,the shape of the item is oblong,the shape of the seat and the shape of the back of the seat,it is a seat for a person,from a medical device manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bulldozer/2580.png,bulldozer,backhoe,"backhoe, bulldozer, bulldozer, bulldozer, bulldozer, bulldozer,",there is a backhoe on the left side of the image,backhoe,from a construction site,"construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites, construction sites,"
/content/Dataset_simple_sketch/test/bulldozer/2634.png,bulldozer,tractor,a line drawing of a tractor,the drawing is a single line drawing of a tractor,it is a tractor,from a farm,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bulldozer/2618.png,bulldozer,bulldozer,a line drawing of a bulldozer,it is a single line drawing of a bulldozer,it is a bulldozer,in the form of a gift,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/bulldozer/2638.png,bulldozer,plow,a plow,"the plow is shaped like a plow, and the plow is shaped like a plow",a plow,from a dealer,"a plow, a plow truck, a plow truck, a plow, a p"
/content/Dataset_simple_sketch/test/bulldozer/2616.png,bulldozer,bulldozer,a bulldozer,there is a bulldozer on the right side of the image,it is a bulldozer,in the form of a coloring book,"a construction site, a construction site, a construction site, a construction site, a construction site, a construction site,"
/content/Dataset_simple_sketch/test/tomato/18099.png,tomato,tomato,the shape of the item is a tomato,the shape of the tomato,it is a vegetable,from a farmer's market,"in a salad, on a sandwich, on a pizza, in a sandwich, on a pizza, on a pizza,"
/content/Dataset_simple_sketch/test/tomato/18089.png,tomato,tomato,the shape of the item is a tomato,the shape of the tomato,a fruit or vegetable,from a farmer's market,"in a salad, on a sandwich, in a sandwich, on a sandwich, on a pizza, on a pizza,"
/content/Dataset_simple_sketch/test/tomato/18144.png,tomato,apple,apple,the shape of the apple,a fruit,from a farmer's market,"apple pies, apple pies, apple pies, apple pies, apple pies, apple pies, apple pies, apple "
/content/Dataset_simple_sketch/test/tomato/18108.png,tomato,pomegranate,the shape of the item is a pear,the shape of the fruit,it is a fruit,from a farmer's market,"in a fruit salad, in a sandwich, on a sandwich, in a sandwich, on a sandwich, on a sandwich"
/content/Dataset_simple_sketch/test/tomato/18105.png,tomato,tomato,the shape of the item is a tomato,the shape of the tomato,a fruit or vegetable,from a farmer's market,"in a salad, on a sandwich, in a sandwich, on a pizza, on a pizza, on a pizza,"
/content/Dataset_simple_sketch/test/tomato/18092.png,tomato,apple,a circle,"the shape of the apple is oblong, the shape of the apple is oblong, and the shape of the apple is ",it is a spherical object with a spherical axis and a spherical radius,it is typically obtained by slicing a piece of fruit into a circle and drawing a line through the middle of the circle,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/tomato/18147.png,tomato,tomato,the shape of the item is a tomato,the shape of the tomato,a fruit or vegetable,from a farmer's market,"in a salad, on a sandwich, in a sandwich, on a pizza, on a pizza, on a pizza,"
/content/Dataset_simple_sketch/test/tomato/18082.png,tomato,tomato,the shape of the item is a tomato,the shape of the tomato,a fruit or vegetable,from a farmer's market,"grocery stores, restaurants, cafeterias, grocery stores, restaurants, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/tomato/18098.png,tomato,tomato,the shape of the item is a tomato,the shape of the tomato,a fruit or vegetable,from a farmer's market,"in a salad, on a sandwich, in a sandwich, on a pizza, on a pizza, on a pizza,"
/content/Dataset_simple_sketch/test/tomato/18140.png,tomato,tomato,the shape of the item is a tomato,"the shape of the tomato, the color of the tomato, the size of the tomato, and the shape of the tomato's stem",a fruit or vegetable,from a farmer's market,"in a salad, on a sandwich, in a sandwich, on a pizza, on a pizza, on a pizza,"
/content/Dataset_simple_sketch/test/tomato/18129.png,tomato,tomato,the shape or form of the item is a tomato,the shape of the tomato,it is a vegetable,from a farmer's market,"grocery stores, restaurants, cafeterias, grocery stores, restaurants, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/tomato/18086.png,tomato,a pumpkin,the shape of the item is oblong,"the shape of the pumpkin is oblong in shape, and the shape of the pumpkin is oblong in shape",it's a bug,in the form of a pumpkin,"a pumpkin patch, a pumpkin patch, a pumpkin patch, a pumpkin patch, a pumpkin patch, a pumpkin patch,"
/content/Dataset_simple_sketch/test/tomato/18124.png,tomato,tomato,a tomato,"the shape of the tomato, the color of the tomato, the size of the tomato, the shape of the tomato, and the shape of the tomato",a fruit or vegetable,from a farmer's market,"in a salad, on a sandwich, in a sandwich, on a pizza, on a pizza, on a pizza,"
/content/Dataset_simple_sketch/test/tomato/18110.png,tomato,a pepper,a bell pepper,the shape of the pepper,it is a vegetable,from a farmer's market,"in the kitchen, on a plate, in a bowl, on a plate, on a plate, on a plate, on"
